model,r2,mae,rmse,cv_r2_mean
ridge,0.9554499579276683,1895.0680924617875,2434.309230597102,0.9505070119414615
lasso,0.9553329685677076,1895.7235278165197,2437.503408937433,0.9504544019827245
linear,0.9553298206795157,1895.7683891864087,2437.589298381726,0.9504488016237899
gbr,0.9525974167666322,1987.8496461591428,2511.0345675050885,0.9439917742418814
rf,0.9490069063230208,2037.0378194029856,2604.3980830391943,0.9410868722368797
xgb,0.9377939374574813,2087.185554399633,2876.5242721428467,0.938258351867918
